Carrier,Month,DeviceModel,Number of Customers
"NULL","April","NULL","571"
"NULL","August","NULL","604"
"NULL","December","NULL","757"
"NULL","February","NULL","612"
"NULL","January","NULL","686"
"NULL","July","NULL","586"
"NULL","June","NULL","632"
"NULL","March","NULL","829"
"NULL","May","NULL","604"
"NULL","November","NULL","692"
"NULL","October","NULL","765"
"NULL","September","NULL","577"
"","April","123BQWE03QWE50B123BASDASDASDTD","1"
"","April","ASDASDASDASDASDASDG-2200123R/Z123","2"
"","April","ASDASDASDC-DC16QWE/X123123","1"
"","April","ASDASDASDCH-123650ASDASDASDASDASDASDVX123R","3"
"","April","ASDASDASDCH-I220MB123MTR","1"
"","April","ASDASDASDCH-I535RWBVZW","17"
"","April","ASDASDASDCH-R500ZR123123TL","2"
"","April","ASDASDASDCH-U3QWE0MASDASDASD123123TL","1"
"","April","ASDASDASDCH-U520NK123MTR","1"
"","April","ASDASDASDCX-QWE623F/X123123","2"
"","April","ASDASDASDECUQWE10MASDASDASD123VZW","1"
"","April","ASDASDASDEPM800ZK123ASDASDASDPR","1"
"","April","ASDASDASDGH-123ASD0ASDD123123CIN","3"
"","April","ASDASDASDGH-123ASDASDASDEGZ123TT","1"
"","April","ASDASDASDGH-D80ASDZK123CIN","1"
"","April","ASDASDASDGH-I33ASDZBM123TT","8"
"","April","ASDASDASDGH-I60ASDZK123CIN","1"
"","April","ASDASDASDGH-T201VASDASDASDGTRF","1"
"","April","ASDASDASDGH-T329TKWTMB","1"
"","April","ASDASDASDGH-T399RN123TMB","15"
"","April","ASDASDASDGH-T539123BBTMB","1"
"","April","ASDASDASDGH-T629123ASDASDASD123TMB","1"
"","April","ASDASDASDGH-T669123123123TMB","1"
"","April","ASDASDASDGH-T669123RBTMB","2"
"","April","ASDASDASDGH-T809OK123TMB","1"
"","April","ASDASDASDGH-T809OKBTMB","1"
"","April","ASDASDASDGH-T819CN123TMB","1"
"","April","ASDASDASDGH-T919OIBTMB","1"
"","April","ASDASDASDGH-T929ZKDTMB","1"
"","April","ASDASDASDGH-TQWE29OBBTMB","1"
"","April","ASDASDASDGH-XQWE26ZASDASDASD123123WASDASDASD","1"
"","April","ASDASDASDM-ASDASDASDASD66CZ123123TFN","1"
"","April","ASDASDASDM-G360PH123123ASDASDASDPR","1"
"","April","ASDASDASDM-G360PZW123BASDASDASDT","16"
"","April","ASDASDASDM-G360VH123123VZW","1"
"","April","ASDASDASDM-G530123ZWZ123IO","4"
"","April","ASDASDASDM-G900RZK123123CG","5"
"","April","ASDASDASDM-G900RZK123LR123","1"
"","April","ASDASDASDM-G900VMK123VZW","6"
"","April","ASDASDASDM-G920PZK123BASDASDASDT","3"
"","April","ASDASDASDM-G920TRW123TMB","2"
"","April","ASDASDASDM-G925VZD123VZW","1"
"","April","ASDASDASDM-N9000WDEMWD","4"
"","April","ASDASDASDM-N910VMKEVZW","1"
"","April","ASDASDASDM-T110NBG123X123R","7"
"","April","ASDASDASDM-T230NYKUBNN","2"
"","April","ASDASDASDM-T230NZWUBNN","3"
"","April","ASDASDASDM-T80ASDTTASDASDASD123TMB","3"
"","April","ASDASDASDMH1611B/X123123","1"
"","April","ASDASDASDMH8165ASDASDASDT/X123123","1"
"","April","ASDASDASDMH918ASDASDASDASDT/X123123","1"
"","April","ASDASDASDMH918ASDW/X123123","1"
"","April","ASDASDASDPH-I330ASDASDASDASDASDASD/X123R","1"
"","April","ASDASDASDPH-LASD10RWEVMU","9"
"","April","ASDASDASDPH-LASD20ZKRASDASDASDPR","14"
"","April","ASDASDASDPH-LASD20ZPRASDASDASDPR","4"
"","April","ASDASDASDPH-LASD20ZWRASDASDASDPR","5"
"","April","ASDASDASDPH-M300IASDASDASD123ASDASDASDPR","1"
"","April","ASDASDASDPH-M500BK123ASDASDASDPR","1"
"","April","ASDASDASDPH-M510BK123ASDASDASDPR","1"
"","April","ASDASDASDPH-M810GN123ASDASDASDPR","1"
"","April","BD-C5500/X123123","2"
"","April","BD-C5500C/X123123","1"
"","April","BD-C6500/X123123","2"
"","April","BD-C6900/X123123","2"
"","April","BD-D6500/Z123","1"
"","April","BD-E5900/Z123","1"
"","April","BD-EM5ASDC/Z123","1"
"","April","BD-F5900/Z123","1"
"","April","BD-H6500/Z123","1"
"","April","BD-P1600/X123123","4"
"","April","BHM3500JB123CASDASDASDT123","1"
"","April","C123D300ASDASDASDBEB/ASDASDASDTD","1"
"","April","CLP-315W/X123123","1"
"","April","CLP-510","1"
"","April","CLX-3185FW/X123123","1"
"","April","DMR5ASDLFASDASDASD/X123123","1"
"","April","DMT300RFB/X123123","1"
"","April","DMT800RHASDASDASD/X123123","1"
"","April","DV210123EW/X123123","1"
"","April","DV339123EW/X123C","1"
"","April","DV50F9123ASDEVW/1232","1"
"","April","DVD-L300123/X123123","1"
"","April","DVD-V2000/X123123","1"
"","April","DVQWE09123EW/X123123","1"
"","April","DVQWE5HASD200GW/1232","1"
"","April","DW80F600UTB/123123","1"
"","April","EB-H1J9VM123GASDASDASDT123","1"
"","April","EC-ASDASDASDH100ZBPRUASDASDASD","1"
"","April","EC-ASDASDASDT150FBPWUASDASDASD","1"
"","April","EC-DV300FBPBUASDASDASD","2"
"","April","EC-I85ZZRB123/UASDASDASD","1"
"","April","EC-TL205ZBMASDASDASDUASDASDASD","1"
"","April","EC-TL205ZBPASDASDASDUASDASDASD","1"
"","April","EK-GC200ZK123X123R","2"
"","April","EK-GC200ZW123X123R","1"
"","April","ET-G900VMK123VZW","1"
"","April","GASDASDASDI1ASDVASDASDASDASDASDASD","1"
"","April","HLR566ASDW123X/X123123","2"
"","April","HLT568ASDASDASDASD123X/X123123","1"
"","April","HMX-H200BN/X123123","2"
"","April","HPTQWE25QWEX/X123123","1"
"","April","HT-D550/Z123","1"
"","April","HW-HMQWE5C/Z123","2"
"","April","LASDASDASD19GASDASDASDEASDASDASDBY/X123123","1"
"","April","LASDASDASD1ASDMEBASDASDASDBD/X123123","2"
"","April","LASDASDASD20BRDBBV/X123123","1"
"","April","LASDASDASD22B5HVFH/Z123","1"
"","April","LN19123330J1DXZ123","1"
"","April","LN321235QWE0P2DXZ123","1"
"","April","LN521236501231FXZ123","1"
"","April","LN52B530PASDFXZ123","1"
"","April","LN52B6101235FXZ123","1"
"","April","LN55CASD50R2FXZ123","1"
"","April","LNQWE0B530PASDFXZ123","1"
"","April","LNQWE6123550P3FXZ123","1"
"","April","LNQWE61236501231FXZ123","1"
"","April","LNQWE6C610N1FXZ123","1"
"","April","LNT5265FX/X123123","1"
"","April","LNT52ASD1FX/X123123","1"
"","April","LNTQWE0QWE2HX/X123123","1"
"","April","ML-2010/X123123","2"
"","April","ML-2851ND/X123123","1"
"","April","NP-N150-J12306UASDASDASD","1"
"","April","NP-RV511-12301UASDASDASD","1"
"","April","NPASD00Z5B-ASDASDASD01UB","1"
"","April","NPASD00Z5C-ASDASDASD02UB","1"
"","April","PN50BQWE30P2DXZ123","1"
"","April","PN50BQWE50B1DXZ123","1"
"","April","PN51D5301233FXZ123","1"
"","April","PN51D550C1FXZ123","2"
"","April","PN58B650ASDASDASD1FXZ123","1"
"","April","PN58C8000YFXZ123","1"
"","April","PNQWE3DQWE501232DXZ123","1"
"","April","RASDASDASD25QWE5ASDASDASDH/X123123","1"
"","April","RASDASDASDG25ASD123123RASDASDASD/X123123","2"
"","April","RF21ASD123BPN/X123123","1"
"","April","RF25HMEDBASDASDASDR/123123","1"
"","April","RF31FMEASDASDASDBASDASDASDR/123123","1"
"","April","RFG29ASD123BWP/X123123","1"
"","April","TXP2ASD3QWEX/X123123","1"
"","April","UN32EH5300FXZ123","1"
"","April","UN32EHQWE003FXZ123","1"
"","April","UN32F5500123FXZ123","1"
"","April","UN32H5201123FXZ123","1"
"","April","UN32J5500123FXZ123","1"
"","April","UN50EH5300FXZ123","1"
"","April","UN50H6201123FXZ123","1"
"","April","UN55D6000ASDASDASDFXZ123","1"
"","April","UN55D8000YFXZ123","1"
"","April","UN55HU68QWE0FXZ123","1"
"","April","UN60D6000ASDASDASDFXZ123","1"
"","April","UN65H6300123FXZ123","1"
"","April","UN65HASD150123FXZ123","2"
"","April","UN65JU6ASD0DFXZ123","1"
"","April","UNQWE0EASDASDASD6100FXZ123","1"
"","April","UNQWE0EH5300FXZ123","1"
"","April","UNQWE6B8000XFXZ123","1"
"","April","UNQWE6C6900VFXZ123","1"
"","April","UNQWE6CASD000WFXZ123","1"
"","April","UNQWE6D6000ASDASDASDFXZ123","2"
"","April","VY-H200ASDASDASD/X123123","1"
"","April","WF210123NW/X123123","1"
"","April","WF218123NB/X123123","1"
"","April","WF219123NW/X123123","1"
"","April","XE500T1C-1230QWEUASDASDASD","1"
"","April","YP-GI1CB/X123123","1"
"","April","YP-K3JQB/X123123","1"
"","April","YP-P2J123W/X123123","1"
"","April","YP-T8X/X123123","1"
"","August","123123-RD5NDOC/UASDASDASD","1"
"","August","123B0QWE3QWEQWE6L123BASDASDASDTD","1"
"","August","ASDASDASDASDASDASDG-P2100T/Z123","1"
"","August","ASDASDASDCH-I535RWBVZW","12"
"","August","ASDASDASDCH-I5QWE5ZKBVZW","2"
"","August","ASDASDASDCH-R350WR123MTR","2"
"","August","ASDASDASDCH-U520NK123MTR","1"
"","August","ASDASDASDCX-3QWE05W/X123C","1"
"","August","ASDASDASDECUASDQWE0Z123123VZW","1"
"","August","ASDASDASDEK-2000/Z123","1"
"","August","ASDASDASDGH-12311ASDZKC123TT","1"
"","August","ASDASDASDGH-123ASD0ASDD123123CIN","1"
"","August","ASDASDASDGH-ASDASDASD105ZASDASDASD123TMB","1"
"","August","ASDASDASDGH-ASDASDASD30ASDASDASDASDASDASDASD123CIN","1"
"","August","ASDASDASDGH-D80ASDZK123CIN","2"
"","August","ASDASDASDGH-E335IBBTMB","1"
"","August","ASDASDASDGH-I33ASDZBM123TT","5"
"","August","ASDASDASDGH-I33ASDZKN123TT","2"
"","August","ASDASDASDGH-I60ASDZK123CIN","2"
"","August","ASDASDASDGH-T929ZKBTMB","1"
"","August","ASDASDASDGH-TQWE29OBBTMB","1"
"","August","ASDASDASDGH-XQWE2ASDZASDASDASD123CIN","2"
"","August","ASDASDASDGH-XQWEASD5LASDASDASDBTMB","1"
"","August","ASDASDASDM-G900RZK123LR123","2"
"","August","ASDASDASDM-N9000WDEMWD","4"
"","August","ASDASDASDM-T230NYKUBNN","4"
"","August","ASDASDASDM-T230NZWUBNN","7"
"","August","ASDASDASDMH918ASDASDASDASDT/X123123","1"
"","August","ASDASDASDMH918ASDASDASDASDT/X123C","1"
"","August","ASDASDASDMHASD1ASDASDASDASDASDTE/X123123","1"
"","August","ASDASDASDPH-LASD20ZKRASDASDASDPR","16"
"","August","ASDASDASDPH-LASD20ZPRASDASDASDPR","5"
"","August","ASDASDASDPH-LASD20ZWRASDASDASDPR","6"
"","August","ASDASDASDPH-M300IASDASDASD123ASDASDASDPR","2"
"","August","ASDASDASDPH-M500OR123ASDASDASDPR","1"
"","August","ASDASDASDPH-M520ZASDASDASD123QASDASDASDT","1"
"","August","BD-C5500/X123123","2"
"","August","BD-C5900/X123123","1"
"","August","BD-C6500/X123123","3"
"","August","BD-D5ASD00/Z123","1"
"","August","BD-DASD500/Z123","1"
"","August","BD-E5300/ZC","1"
"","August","BD-E5900/Z123","3"
"","August","BD-F5ASD00/Z123","1"
"","August","BD-HM5ASDC/Z123","1"
"","August","BD-PQWE600/X123123","1"
"","August","DV218123GB/X123123","1"
"","August","DV365GTBGWR/1233","1"
"","August","DVD-1080PASD/X123123","1"
"","August","DVD-HD8ASD0/X123123","1"
"","August","DVD-R120/123X123123","1"
"","August","DVQWE31123EW/X123123","1"
"","August","DVQWE33ETGJWR/1231","1"
"","August","EC-123Q100ZBPBUASDASDASD","1"
"","August","EC-L100ZRB123/UASDASDASD","1"
"","August","EE-CP905UBEGUJ","1"
"","August","EFC-1H8NGECX123R","1"
"","August","EK-GC200ZK123X123R","2"
"","August","FE-R300ASDASDASDX/X123123","1"
"","August","HL61123ASD501231FXZ123","1"
"","August","HLASDASDASD56ASD9WX/X123123","1"
"","August","HPASDASDASD50ASD3X/X123123","1"
"","August","HPASDASDASDQWE253X/X123123","1"
"","August","HPTQWE25QWEX/X123123","2"
"","August","HPTQWE26QWEX/X123123","1"
"","August","HT-123ASDASDASDASD20ASDASDASDT/X123123","1"
"","August","HT-C5500/X123123","1"
"","August","HT-F5500W/Z123","1"
"","August","HT-X50T/X123123","1"
"","August","LASDASDASD1ASDH123123KB/X123123","1"
"","August","LASDASDASD20H123WCBQ/X123123","1"
"","August","LASDASDASD22MEHASDASDASDFJ/X123123","1"
"","August","LASDASDASD22MEWASDASDASDFV/X123123","1"
"","August","LASDASDASD23CFUKFY/Z123","2"
"","August","LASDASDASD2QWEHUCEFV/X123123","1"
"","August","LASDASDASD30HUXCB/X123123","1"
"","August","LE19IASDASDASDBBQ","1"
"","August","LN521236501231FXZ123","1"
"","August","LN52B550K1FXZ123","1"
"","August","LN52C530F1FXZ123","1"
"","August","LNQWE0B630N1FXZ123","1"
"","August","LNQWE6123ASD50R1FXZ123","2"
"","August","LNQWE6C630K1FXZ123","1"
"","August","LNT3ASD5H123X/X123123","1"
"","August","LNT5265FX/X123123","1"
"","August","LNTQWE0QWE2HX/X123123","1"
"","August","LNTQWE661FX/X123P","1"
"","August","LNTQWE665FX/X123123","1"
"","August","MJ1ASD123ASDASDASDASDASDASDBY","1"
"","August","ML-1ASDQWE0/X123123","1"
"","August","ML-2010/X123123","1"
"","August","ML-2510/X123123","1"
"","August","ML1ASDNASDASDASDASDASDASDASDASDASD","1"
"","August","NP-R580-JBB2UASDASDASD","1"
"","August","NP5QWE0U3C-12301UB","1"
"","August","NP880Z5E-X01UB","2"
"","August","NP900XQWEC-12301UASDASDASD","1"
"","August","PN50B550T2FXZ123","1"
"","August","PN51D5301233FXZ123","1"
"","August","PN51F8500123FXZ123","1"
"","August","PN58C8000YFXZ123","1"
"","August","PN60E550D1FXZ123","1"
"","August","PN60F8500123FXZ123","1"
"","August","PNQWE3FQWE500BFXZ123","1"
"","August","RASDASDASD2556BB/X123123","2"
"","August","RASDASDASD25H5121ASDASDASDR/123123","1"
"","August","RASDASDASD26ASDL123BP/X123123","1"
"","August","RF21ASD123CWP/X123123","1"
"","August","RF263123EWP/X123123","1"
"","August","RF268123BBP/X123123","1"
"","August","RF31FMEASDASDASDBASDASDASDR/123123","1"
"","August","RMC30C2/Z123","1"
"","August","TXP30ASD5WHX/X123123","1"
"","August","UN32D6000ASDASDASDFXZ123","1"
"","August","UN50EH5300FXZ123","1"
"","August","UN55D6900WFXZ123","1"
"","August","UN55EASDASDASD6580FXZ123","1"
"","August","UN55EASDASDASDASD500FXZ123","1"
"","August","UN65FASD100123FXZ123","1"
"","August","UNQWE0F6QWE00123FXZ123","1"
"","August","UNQWE6C8000XFXZ123","1"
"","August","VG-ASDASDASDTC2000/Z123","1"
"","August","WF218123NB/X123123","1"
"","August","WF365BTBGWR/1232","1"
"","August","WFQWE19123123W/X123123","1"
"","August","WFQWE31123BW/X123123","1"
"","August","YP-P2J123BY/X123123","1"
"","August","YP-T10J123BY/X123123","1"
"","August","YP-Z5QASDASDASD/X123123","1"
"","December","123T123DASDASDASD10JBEBASDASDASDTD","1"
"","December","ASDASDASDCH-123310ASDASDASDV/X123R","2"
"","December","ASDASDASDCH-1236ASD0ZASDASDASDVX123R","1"
"","December","ASDASDASDCH-I535RWBVZW","18"
"","December","ASDASDASDCH-R500ZR123123TL","1"
"","December","ASDASDASDCX-3QWE05FW/X123123","1"
"","December","ASDASDASDEG-12388ASDZK123123TT","1"
"","December","ASDASDASDEG1238ASDASDRB123123TT","2"
"","December","ASDASDASDEGCQWE1ASDZD123CIN","1"
"","December","ASDASDASDGH-12311ASDZKC123TT","1"
"","December","ASDASDASDGH-12323ASDZRZ123TT","1"
"","December","ASDASDASDGH-123ASD0ASD","1"
"","December","ASDASDASDGH-123ASD0ASDD123123CIN","4"
"","December","ASDASDASDGH-I33ASDZBM123TT","2"
"","December","ASDASDASDGH-I33ASDZKN123TT","1"
"","December","ASDASDASDGH-I60ASDZK123CIN","3"
"","December","ASDASDASDGH-T229ASDASDASDR123TMB","1"
"","December","ASDASDASDGH-T239D123WTMB","1"
"","December","ASDASDASDGH-T309DASDASDASD123TMB","1"
"","December","ASDASDASDGH-T399RN123TMB","28"
"","December","ASDASDASDGH-T619ASDASDASDASDASDASD123TMB","1"
"","December","ASDASDASDGH-T629123ASDASDASDBTMB","1"
"","December","ASDASDASDGH-T669123RBTMB","1"
"","December","ASDASDASDGH-T809OK123TMB","1"
"","December","ASDASDASDGH-T819CNBTMB","1"
"","December","ASDASDASDGH-T919CN123TMB","2"
"","December","ASDASDASDGH-T939MNBTMB","1"
"","December","ASDASDASDGH-TQWE29OBBTMB","1"
"","December","ASDASDASDGH-XQWE2ASDMASDASDASDBCIN","1"
"","December","ASDASDASDL-CQWE60FW/X123123","1"
"","December","ASDASDASDM-N910VMKEVZW","4"
"","December","ASDASDASDM-N915RZKEUASDASDASDC","1"
"","December","ASDASDASDM-T230NYKUBNN","26"
"","December","ASDASDASDM-T230NZWUBNN","15"
"","December","ASDASDASDM-T530NYKUBNN","9"
"","December","ASDASDASDM-T80ASDTTASDASDASD123TMB","9"
"","December","ASDASDASDMHASD1ASD8ASDASDASDTE/X123123","1"
"","December","ASDASDASDPH-123QWE60","1"
"","December","ASDASDASDPH-LASD10RWRASDASDASDPR","1"
"","December","ASDASDASDPH-LASD20ZKRASDASDASDPR","10"
"","December","ASDASDASDPH-LASD20ZPRASDASDASDPR","2"
"","December","ASDASDASDPH-LASD20ZWRASDASDASDPR","2"
"","December","BD-C5500/X123123","3"
"","December","BD-C5900/X123123","4"
"","December","BD-C6500/X123123","5"
"","December","BD-C6900/X123123","2"
"","December","BD-D5ASD00/Z123","1"
"","December","BD-E5300/Z123","1"
"","December","BD-E5900/Z123","1"
"","December","BD-E5QWE00/Z123","2"
"","December","BD-EM59C/Z123","1"
"","December","BD-EM5ASDC/Z123","1"
"","December","BD-F5900/Z123","2"
"","December","BD-F5ASD00/Z123","3"
"","December","BD-FASD500/Z123","2"
"","December","BD-HM5ASDC/Z123","1"
"","December","BD-P1500/EDC","1"
"","December","BD-P1500/X123123","6"
"","December","BD-P1500C/X123123","1"
"","December","BD-P1590/X123123","1"
"","December","BD-P1600/X123123","4"
"","December","BD-P2550/X123123","2"
"","December","CLP-315/X123123","1"
"","December","CLP-325W/X123C","1"
"","December","CLX-3305W/X123123","1"
"","December","DMRASD8123HASDASDASD/X123123","1"
"","December","DMT800RHASDASDASD/X123123","1"
"","December","DPASD001233B-12302UASDASDASD","1"
"","December","DV350123ER/X123123","1"
"","December","DVD-1080PASD/X123123","1"
"","December","DVD-C500/X123123","1"
"","December","DVD-VQWE600123/X123123","1"
"","December","DVQWE2H5200EF/1233","1"
"","December","EBQWE2QWE255V123BASDASDASDTD","1"
"","December","EC-ASDASDASDL201ASDASDASDB123/UASDASDASD","3"
"","December","EC-ASDASDASDL600ZBPBUASDASDASD","1"
"","December","EC-DV300FBPBUASDASDASD","1"
"","December","EC-I85ZZBB123/UASDASDASD","1"
"","December","EC-L100ZRB123/UASDASDASD","1"
"","December","EC-PL200ZBPRUASDASDASD","1"
"","December","EC-TL205ZBPASDASDASDUASDASDASD","1"
"","December","FTQ30ASDNWGX/X123123","1"
"","December","FTQ38ASDLWGX/X123123","1"
"","December","HCLQWEASD15WBX/X123123","1"
"","December","HLP5085WX/X123123","1"
"","December","HLR566ASDWX/X123123","1"
"","December","HLRQWE66ASDWX/X123123","1"
"","December","HLT568ASDASDASDASD123X/X123123","1"
"","December","HLT6189ASDASDASDX/X123123","1"
"","December","HLTQWE6ASD5ASDASDASDX/X123123","1"
"","December","HMX-F90BN/X123123","1"
"","December","HPASDASDASD5053X/X123123","1"
"","December","HT-123ASDASDASDASD20ASDASDASDT/X123123","1"
"","December","HT-123ASDASDASDASD30ASDASDASDT/X123123","1"
"","December","HT-BD1250T/X123123","2"
"","December","HT-BDASD200T/X123123","1"
"","December","HT-C6ASD30W/X123123","1"
"","December","HT-H6500WM/Z123","1"
"","December","HT-P38T/X123C","1"
"","December","HT-QASD0T/X123123","1"
"","December","HW-CQWE50/X123123","1"
"","December","HW-EQWE50C/Z123","1"
"","December","HW-FQWE50/Z123","1"
"","December","LASDASDASD1ASDMEBASDASDASDBD/X123123","1"
"","December","LASDASDASD22B5HVFH/Z123","1"
"","December","LASDASDASD22C300HASDASDASD/Z123","1"
"","December","LASDASDASD22PEBASDASDASDFL/X123123","1"
"","December","LASDASDASD22TWHASDASDASDUV/Z123","1"
"","December","LASDASDASD2ASDEFHKUV/Z123","1"
"","December","LASDASDASD2QWEHUBCFJ/X123123","1"
"","December","LASDASDASD2QWEHUBCFV/X123123","3"
"","December","LASDASDASD2QWEKIQRBQ/X123C","1"
"","December","LN32123300J1DXZ123","1"
"","December","LN32123330J1DXZ123","3"
"","December","LN32123330J1NXZ123","1"
"","December","LN32123550P3FXZ123","1"
"","December","LN32DQWE03E2DXZ123","1"
"","December","LN52123630M1FXZ123","1"
"","December","LN521236501231FXZ123","1"
"","December","LN52123850ASDASDASD1FXZ123","1"
"","December","LN52123ASD50R1FXZ123","2"
"","December","LNQWE0123500T1FXZ123","1"
"","December","LNQWE0123630M1FXZ123","3"
"","December","LNQWE0B630N1FXZ123","1"
"","December","LNQWE0D630M3FXZ123","1"
"","December","LNQWE6B650T1FXZ123","1"
"","December","LNQWE6C630K1FXZ123","1"
"","December","LNQWE6C650L1FXZ123","1"
"","December","LNT1953HX/X123123","2"
"","December","LNT3253HX/X123123","2"
"","December","LNT32QWE2HX/X123123","1"
"","December","LNT52ASD1FX/X123123","1"
"","December","LNTQWE053HX/X123123","1"
"","December","LNTQWE066FX/X123123","2"
"","December","LNTQWE0QWE2HX/X123123","1"
"","December","LNTQWE661FX/X123123","3"
"","December","LT2ASD123550ND/Z123","1"
"","December","LTN1535X/X123123","1"
"","December","ML-1665/X123123","1"
"","December","MZ-ASDPC06QWED/123M","1"
"","December","MZ-ASDPD256BW","1"
"","December","NP-QXQWE11-W01UASDASDASD","1"
"","December","NP-QXQWE11-W01UB","1"
"","December","NP-R580-JBB1UASDASDASD","1"
"","December","NP900X3D-12301UASDASDASD","1"
"","December","NPASD00Z5C-ASDASDASD02UB","1"
"","December","PN50C8000YFXZ123","1"
"","December","PN51DQWE301233DXZ123","1"
"","December","PN51EQWE501231FXZ123","1"
"","December","PN51F8500123FXZ123","2"
"","December","PN58B550T2FXZ123","1"
"","December","PN60F5500123FXZ123","1"
"","December","PN63C8000YFXZ123","2"
"","December","PNQWE3DQWEQWE01235DXZ123","1"
"","December","RASDASDASD253B123WW/X123123","1"
"","December","RASDASDASD2556BB/X123123","1"
"","December","RB195123CPN/X123123","2"
"","December","RF19ASD123CWP/X123123","1"
"","December","RF265123CBP/X123123","1"
"","December","RF266123123ASDASDASDH/X123123","1"
"","December","RF268123BRASDASDASD/X123123","1"
"","December","TASDASDASDL3295HFX/X123123","1"
"","December","TXP2ASDQWE5PX/X123123","1"
"","December","UN50EH5000FXZ123","1"
"","December","UN50EH5300FXZ123","1"
"","December","UN50H6201123FXZ123","1"
"","December","UN50HU6950FXZ123","1"
"","December","UN55CASD000WFXZ123","2"
"","December","UN55D6000ASDASDASDFXZ123","1"
"","December","UN55D6050TFXZ123","2"
"","December","UN55D6500VFXZ123","1"
"","December","UN55DASD000LFXZ123","2"
"","December","UN55EASDASDASD6100FXZ123","1"
"","December","UN55EASDASDASD6580FXZ123","1"
"","December","UN55EH6000FXZ123","1"
"","December","UN55F9000123FXZ123","1"
"","December","UN55FH6200FXZ123","1"
"","December","UN55H6350123FXZ123","1"
"","December","UN60EASDASDASDASD150FXZ123","1"
"","December","UN60EASDASDASDASD500FXZ123","2"
"","December","UN60F6300123FXZ123","1"
"","December","UN60F6350123FXZ123","1"
"","December","UN65EASDASDASD6500FXZ123","1"
"","December","UN65H6203123FXZ123","1"
"","December","UNQWE0CASD000WFXZ123","1"
"","December","UNQWE0D6000ASDASDASDFXZ123","2"
"","December","UNQWE0EASDASDASD6003FXZ123","1"
"","December","UNQWE0EH5000FXZ123","1"
"","December","UNQWE0H5203123FXZ123","1"
"","December","UNQWE6B8000XFXZ123","1"
"","December","UNQWE6C6800UFXZ123","1"
"","December","UNQWE6D6300ASDASDASDFXZ123","3"
"","December","UNQWE6EH5300FXZ123","1"
"","December","UNQWE6F8000BFXZ123","1"
"","December","W123MASD50/Z123","1"
"","December","WFQWE2H5200123F/1232","1"
"","December","YP-ASD00H/X123123","2"
"","December","YP-GASD0CWY/X123123","1"
"","December","YP-GASDASDASD1CB/X123123","1"
"","December","YP-P2J123R/X123123","1"
"","December","YP-P3JCB/X123123","1"
"","December","YP-T8Z/X123123","1"
"","February","123123ET55QWECBEBASDASDASDTD","1"
"","February","123BQWE63QWEQWE6B123BASDASDASDTD","1"
"","February","123T123DASDASDASD10JBEBASDASDASDTD","1"
"","February","ASDASDASDASDASDASDG-3500CR/Z123","2"
"","February","ASDASDASDC-L906/X123123","1"
"","February","ASDASDASDCH-123650","1"
"","February","ASDASDASDCH-123650ASDASDASDASDASDASDVX123R","1"
"","February","ASDASDASDCH-I220MB123MTR","1"
"","February","ASDASDASDCH-I535RWBVZW","34"
"","February","ASDASDASDCH-IASD30ZKVX123R","1"
"","February","ASDASDASDCH-R350WR123MTR","3"
"","February","ASDASDASDCH-RQWE50ZR123MTR","1"
"","February","ASDASDASDCH-U520NK123MTR","1"
"","February","ASDASDASDCX-3QWE05FW/X123123","1"
"","February","ASDASDASDCX-3QWE05W/X123C","1"
"","February","ASDASDASDCX-QWE826FN/X123123","1"
"","February","ASDASDASDEC-R560MB123CRI","1"
"","February","ASDASDASDEG-12388ASDZK123123TT","1"
"","February","ASDASDASDEG12311ASDZK123123TT","1"
"","February","ASDASDASDEG12386ASDZK123123TT","2"
"","February","ASDASDASDEG1238ASDASDRB123123TT","1"
"","February","ASDASDASDEPM800ZKBASDASDASDPR","1"
"","February","ASDASDASDGH-D80ASDZK123CIN","1"
"","February","ASDASDASDGH-E316CASDASDASD123123WASDASDASD","1"
"","February","ASDASDASDGH-I33ASDZBM123TT","18"
"","February","ASDASDASDGH-I60ASDZK123CIN","1"
"","February","ASDASDASDGH-T219ASDASDASDRITMB","1"
"","February","ASDASDASDGH-T229ASDASDASDRBTMB","1"
"","February","ASDASDASDGH-T399RN123TMB","17"
"","February","ASDASDASDGH-T669123RBTMB","1"
"","February","ASDASDASDGH-T809OKBTMB","1"
"","February","ASDASDASDGH-T919CN123TMB","1"
"","February","ASDASDASDGH-T919CN123TMK","1"
"","February","ASDASDASDGH-TASDQWE9T123KTMB","1"
"","February","ASDASDASDGH-TQWEASD9RN123TMB","1"
"","February","ASDASDASDM-G360PZW123BASDASDASDT","11"
"","February","ASDASDASDM-G900RZK123123CG","6"
"","February","ASDASDASDM-G900RZK123LR123","1"
"","February","ASDASDASDM-G900VMK123VZW","2"
"","February","ASDASDASDM-N9000WDEMWD","1"
"","February","ASDASDASDM-T230NYKUBNN","7"
"","February","ASDASDASDM-T230NZWUBNN","7"
"","February","ASDASDASDM-T360NNG123X123R","1"
"","February","ASDASDASDM-T530NYKUBNN","2"
"","February","ASDASDASDM-T80ASDTTASDASDASD123TMB","6"
"","February","ASDASDASDMH920ASDASDASDASDT/X123123","1"
"","February","ASDASDASDMHASD1ASD8ASDASDASDTE/X123123","1"
"","February","ASDASDASDPH-123QWE00ASDASDASDASDASDASD/X123R","1"
"","February","ASDASDASDPH-LASD10RWEVMU","2"
"","February","ASDASDASDPH-LASD20ZKRASDASDASDPR","21"
