"57_BRX Welcome Stream","","2B","","2013-06-16","15","3","0","0.2000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-17","13","3","1","0.2308","0.3333","0.0769","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-18","13","5","1","0.3846","0.2000","0.0769","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-19","17","2","0","0.1176","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-20","11","2","0","0.1818","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-21","22","5","0","0.2273","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-22","19","5","1","0.2632","0.2000","0.0526","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-23","15","3","0","0.2000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-24","20","5","1","0.2500","0.2000","0.0500","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-25","19","5","2","0.2632","0.4000","0.1053","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-26","20","6","0","0.3000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-27","21","5","1","0.2381","0.2000","0.0476","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-28","12","2","0","0.1667","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-29","13","3","1","0.2308","0.3333","0.0769","0.0000"
"57_BRX Welcome Stream","","2B","","2013-06-30","12","1","0","0.0833","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-01","10","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","2B","","2013-07-02","14","2","0","0.1429","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-03","16","6","1","0.3750","0.1667","0.0625","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-04","14","1","0","0.0714","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-05","17","5","0","0.2941","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-06","20","4","0","0.2000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-07","15","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","2B","","2013-07-08","23","6","1","0.2609","0.1667","0.0435","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-09","16","4","0","0.2500","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-10","28","6","1","0.2143","0.1667","0.0357","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-11","21","6","1","0.2857","0.1667","0.0476","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-12","9","2","0","0.2222","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-13","17","2","0","0.1176","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-14","28","6","1","0.2143","0.1667","0.0357","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-15","32","5","0","0.1563","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-16","25","7","1","0.2800","0.1429","0.0400","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-17","26","5","0","0.1923","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-18","19","2","0","0.1053","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","2B","","2013-07-19","8","1","0","0.1250","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-03-20","0","0","0","NULL","NULL","NULL","NULL"
"57_BRX Welcome Stream","","T1","","2013-03-22","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-03-23","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-03-24","2","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-03-25","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-03-26","2","1","1","0.5000","1.0000","0.5000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-03-27","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-03-28","2","2","1","1.0000","0.5000","0.5000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-03-29","2","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-03-31","2","1","0","0.5000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-04-05","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-04-18","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-04-22","0","0","0","NULL","NULL","NULL","NULL"
"57_BRX Welcome Stream","","T1","","2013-04-23","3","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-04-24","5","3","2","0.6000","0.6667","0.4000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-04-25","2","1","0","0.5000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-04-26","2","1","0","0.5000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-04-27","3","1","0","0.3333","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-04-29","1","1","1","1.0000","1.0000","1.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-05-01","3","3","0","1.0000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-05-02","1","1","0","1.0000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-05-03","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-05-04","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-05-05","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-05-07","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-05-08","5","1","0","0.2000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-05-09","2","1","0","0.5000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-05-10","0","0","0","NULL","NULL","NULL","NULL"
"57_BRX Welcome Stream","","T1","","2013-05-11","1","1","0","1.0000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-05-12","2","2","0","1.0000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-05-15","2","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-05-17","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-05-18","1","1","1","1.0000","1.0000","1.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-05-19","4","1","1","0.2500","1.0000","0.2500","1.0000"
"57_BRX Welcome Stream","","T1","","2013-05-20","2","1","0","0.5000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-05-21","1","1","0","1.0000","0.0000","0.0000","0.0000"
"57_BRX Welcome Stream","","T1","","2013-05-22","1","0","0","0.0000","NULL","0.0000","NULL"
"57_BRX Welcome Stream","","T1","","2013-05-23","2","0","1","0.0000","NULL","0.5000","NULL"
"57_BRX Welcome Stream","","T1","","2013-05-24","1","1","1","1.0000","1.0000","1.0000","1.0000"
